loc,function_count,class_count,avg_function_length,dependency_count,fan_in,fan_out,module_count,cyclomatic_complexity,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,repository_name,iq_score,maintainability_risk,technical_debt_score,architecture_quality
1365931.0,52050.0,9022.0,16.266071085494715,20.0,5.0,5.0,7446.0,23.06661294654848,79.29738548155888,232.328010395284,1.4631693539295525,1431.9810625590208,airflow,81.11,2.32,3.06,86.85
511066.0,30649.0,9655.0,11.764755783222943,8606.0,793.0,38.0,2923.0,23.793292265571527,82.3029437743352,147.58208109167882,1.129490216166449,1078.239607855273,django,76.64,3.23,20.42,60.96
110885.0,4497.0,699.0,17.55637091394263,1578.0,581.0,14.0,1129.0,10.45704162976085,74.69372959286811,96.04365626882532,0.5997753543932914,274.57870716350567,fastapi,76.39,2.85,21.74,62.34
18141.0,831.0,137.0,15.681107099879664,85.0,10.0,12.0,83.0,32.734939759036145,68.835040936726,373.8393247950271,1.9195830112600591,1947.864020997683,flask,60.32,50.0,40.0,52.5
353257.0,12656.0,1822.0,19.25205436156764,0.0,0.0,0.0,2530.0,18.83683168316832,84.30920701855212,225.6342227937412,1.0636097211424658,1524.628876971441,langchain,65.02,20.57,45.23,62.26
248114.0,11606.0,1764.0,15.749612269515769,1109.0,299.0,17.0,495.0,64.56072874493927,55.438715853148935,1548.9625379653403,5.127884408145008,23380.466242853487,numpy,62.56,22.04,31.13,77.5
666225.0,29368.0,2246.0,16.585909833832744,5787.0,1118.0,61.0,1509.0,55.88137839628893,57.94935716673765,778.333201825023,3.7476988011207006,7719.734560950437,pandas,65.8,28.47,30.4,74.17
639926.0,24552.0,4193.0,19.650089605734767,115.0,5.0,16.0,1878.0,46.06279936136243,65.0255689894823,525.8440766811414,2.241180125600664,3321.7911327246,prefect,66.09,1.48,22.97,72.26
161031.0,6691.0,2805.0,15.337916604393962,840.0,167.0,34.0,405.0,60.16336633663367,57.10633828284592,860.9849625810351,2.5296383715881534,5487.006128191995,pydantic,76.81,10.54,3.33,73.76
2495847.0,97576.0,16910.0,19.818397966713125,21932.0,2930.0,93.0,4606.0,86.579,58.14996939505714,1464.7649521022356,4.952217115167737,17506.993158547662,pytorch,82.76,5.65,15.0,87.17
1185352.0,42755.0,7362.0,20.75043854519939,271.0,25.0,8.0,4593.0,27.644,73.15269819404853,274.26971424303923,2.614350057244124,2256.0256328320284,ray,79.42,11.99,6.7,82.62
11378.0,618.0,92.0,11.815533980582524,72.0,10.0,12.0,37.0,44.04545454545455,69.71716084522082,519.8583804300248,3.2522391627136984,4315.505311044289,requests,73.18,6.29,20.35,59.41
32520.0,1668.0,249.0,12.983213429256594,726.0,119.0,36.0,213.0,31.7196261682243,72.36359321373003,416.2120154463007,3.389764200568131,4431.681289354554,rich,73.46,11.72,20.51,56.73
402377.0,10962.0,990.0,25.070607553366173,4803.0,319.0,35.0,1014.0,52.237430167597765,60.10520620095809,985.2706562917608,5.888650363904676,11654.74164178243,scikit-learn,68.9,23.96,27.6,75.96
618203.0,26296.0,6840.0,17.437671128688773,2126.0,145.0,33.0,667.0,117.42007434944236,50.47764592741286,1226.5150013304576,4.441264394496912,11436.539947988103,sqlalchemy,62.01,1.46,21.46,62.01
1186308.0,50985.0,5985.0,16.925232911640677,17551.0,1927.0,158.0,3070.0,32.501,68.05855568771287,323.66641719272747,2.919664932161368,2549.569366651984,tensorflow,92.0,17.9,1.5,78.8
1608356.0,54970.0,16362.0,20.73991267964344,15042.0,1866.0,40.0,4517.0,56.701,62.006952396096274,1091.4435304312096,6.4514835382107325,15367.122839997966,transformers,80.72,1.39,21.24,72.01
34123.0,2024.0,131.0,10.717391304347826,747.0,318.0,10.0,634.0,8.026548672566372,79.09135936866885,73.19917387389728,0.952803206818911,543.3728481247257,typer,64.74,5.66,21.87,70.96
